displacement,velocity,cav,energy,rainfall,temp,crack_length,bench_height,slope_angle,rmr,joint_spacing,failure_label
0.115235854,2.880047681,2.880047681,10.8421394,0.204490652,24.66614414,0.041753263,28.41280723,54.17674486,27.47901427,0.648109578,1
0.163236649,5.565700634,8.445748316,2.578546486,0.384501951,26.63355173,0.063416421,28.41280723,54.17674486,27.47901427,0.648109578,1
0.300759208,8.536523868,16.98227218,3.149138829,0.878397983,26.2501704,0.122292675,28.41280723,54.17674486,27.47901427,0.648109578,1
0.447787444,4.484294292,21.46656648,15.63640342,0.107613473,27.50345002,0.181560071,28.41280723,54.17674486,27.47901427,0.648109578,1
0.450235685,1.120177957,22.58674443,24.0734496,0.689038851,23.95735416,0.200945766,28.41280723,54.17674486,27.47901427,0.648109578,1
0.48512671,4.238491344,26.82523578,1.205814513,0.022409288,24.12918505,0.2555354,28.41280723,54.17674486,27.47901427,0.648109578,1
0.59151873,5.717396716,32.54263249,8.955574825,0.181703859,24.04179366,0.320247062,28.41280723,54.17674486,27.47901427,0.648109578,1
0.6757066,5.500434375,38.04306687,14.55840866,0.140505098,26.58160344,0.377734791,28.41280723,54.17674486,27.47901427,0.648109578,1
0.774866542,4.695232372,42.73829924,0,0.17257729,27.99674888,0.440374421,28.41280723,54.17674486,27.47901427,0.648109578,1
0.832214346,6.039531071,48.77783031,6.719715731,0.369401105,24.08231901,0.462289039,28.41280723,54.17674486,27.47901427,0.648109578,1
0.976184245,8.485784865,57.26361518,1.760492428,0.098768296,24.15045254,0.518909842,28.41280723,54.17674486,27.47901427,0.648109578,1
1.115073841,7.265733949,64.52934913,0,0.840286683,25.62815445,0.562857447,28.41280723,54.17674486,27.47901427,0.648109578,1
1.218375376,7.789907857,72.31925698,14.05143867,0.158807952,24.508477,0.603201644,28.41280723,54.17674486,27.47901427,0.648109578,1
1.374737437,8.392125824,80.71138281,13.55086016,0.292386824,26.90410731,0.670612756,28.41280723,54.17674486,27.47901427,0.648109578,1
1.498112904,5.412325319,86.12370813,0.527223849,0.177884784,20.49644542,0.750198246,28.41280723,54.17674486,27.47901427,0.648109578,1
1.555148281,5.264187482,91.38789561,15.04352848,0.147417998,23.34658991,0.836085647,28.41280723,54.17674486,27.47901427,0.648109578,1
1.67358582,5.114802275,96.50269788,0,0.115062433,23.43516733,0.912381804,28.41280723,54.17674486,27.47901427,0.648109578,1
1.72564169,5.879351551,102.3820494,2.429117209,0.004875052,20.35928798,0.960187121,28.41280723,54.17674486,27.47901427,0.648109578,1
1.869564205,7.242786585,109.624836,0.735400043,0.785783284,23.07272311,1.017241524,28.41280723,54.17674486,27.47901427,0.648109578,1
1.967067909,5.647817588,115.2726536,11.92594512,0.208346445,23.16968777,1.082577981,28.41280723,54.17674486,27.47901427,0.648109578,1
2.057824791,4.701312138,119.9739657,1.982082582,0.551990084,24.59779069,1.13500154,28.41280723,54.17674486,27.47901427,0.648109578,1
